dataset,split,fold,method,environment_id,fit_seconds,selected_candidate,common_threshold,anomaly_threshold,primary_gate,coverage_rate,coverage_floor,coverage_gap,gated_coverage_rate,coverage_lift,coverage_lift_floor,coverage_recovery_floor,causal_fragility_score,environment_leakage_score,score_environment_leakage_score,accuracy,precision,recall,f1,auc,alert_budget_inflation
uwf,heldout_family,exfiltration,intervendb_tail_guard_ensemble,observed,36.104271100000005,protocol_core_rf+iforest_env_sensitive,0.2256,0.5,,,,,,,,,0.2571361863712176,0.022741777691966412,0.13963498700767346,0.9315068493150684,0.8214285714285714,1.0,0.9019607843137255,1.0,1.2173913043478262
uwf,heldout_family,exfiltration,intervendb_tail_guard_ensemble,low_sampling,36.104271100000005,protocol_core_rf+iforest_env_sensitive,0.2256,0.5,,,,,,,,,0.2571361863712176,0.022741777691966412,0.13963498700767346,0.9863013698630136,0.9583333333333334,1.0,0.9787234042553191,1.0,1.0434782608695652
uwf,heldout_family,exfiltration,intervendb_tail_guard_ensemble,congested_link,36.104271100000005,protocol_core_rf+iforest_env_sensitive,0.2256,0.5,,,,,,,,,0.2571361863712176,0.022741777691966412,0.13963498700767346,0.9315068493150684,0.8214285714285714,1.0,0.9019607843137255,1.0,1.2173913043478262
uwf,heldout_family,exfiltration,intervendb_tail_guard_ensemble,high_background,36.104271100000005,protocol_core_rf+iforest_env_sensitive,0.2256,0.5,,,,,,,,,0.2571361863712176,0.022741777691966412,0.13963498700767346,0.8082191780821918,0.6216216216216216,1.0,0.7666666666666667,1.0,1.608695652173913
uwf,heldout_family,exfiltration,intervendb_tail_guard_ensemble,delayed_collector,36.104271100000005,protocol_core_rf+iforest_env_sensitive,0.2256,0.5,,,,,,,,,0.2571361863712176,0.022741777691966412,0.13963498700767346,0.9178082191780822,0.7931034482758621,1.0,0.8846153846153846,1.0,1.2608695652173914
uwf,heldout_family,exfiltration,intervendb_conformal_tail_guard,observed,36.104271100000005,protocol_core_rf+conformal_iforest_env_sensitive,0.2256,0.9887341772151899,,,,,,,,,0.31443069874118923,0.00505395815767908,0.29000245267093766,0.9863013698630136,0.9583333333333334,1.0,0.9787234042553191,1.0,1.0434782608695652
uwf,heldout_family,exfiltration,intervendb_conformal_tail_guard,low_sampling,36.104271100000005,protocol_core_rf+conformal_iforest_env_sensitive,0.2256,0.9887341772151899,,,,,,,,,0.31443069874118923,0.00505395815767908,0.29000245267093766,1.0,1.0,1.0,1.0,1.0,1.0
uwf,heldout_family,exfiltration,intervendb_conformal_tail_guard,congested_link,36.104271100000005,protocol_core_rf+conformal_iforest_env_sensitive,0.2256,0.9887341772151899,,,,,,,,,0.31443069874118923,0.00505395815767908,0.29000245267093766,1.0,1.0,1.0,1.0,1.0,1.0
uwf,heldout_family,exfiltration,intervendb_conformal_tail_guard,high_background,36.104271100000005,protocol_core_rf+conformal_iforest_env_sensitive,0.2256,0.9887341772151899,,,,,,,,,0.31443069874118923,0.00505395815767908,0.29000245267093766,1.0,1.0,1.0,1.0,1.0,1.0
uwf,heldout_family,exfiltration,intervendb_conformal_tail_guard,delayed_collector,36.104271100000005,protocol_core_rf+conformal_iforest_env_sensitive,0.2256,0.9887341772151899,,,,,,,,,0.31443069874118923,0.00505395815767908,0.29000245267093766,0.9863013698630136,0.9583333333333334,1.0,0.9787234042553191,1.0,1.0434782608695652
