dataset,split,fold,method,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,persistence,intervendb_coverage_lift_openworld_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_adaptive_openworld_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_counterfactual_ensemble,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_env_calibrated_ensemble,0.9984686064318529,0.9984686064318529,0.0
uwf,time,within_family_chronological,intervendb_observed_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_minimax_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_stability_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_shift_guard_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_pareto_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_openworld_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_coverage_openworld_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_coverage_lift_openworld_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,time,within_family_chronological,intervendb_adaptive_openworld_selector,0.9960518894529047,0.9960518894529047,0.0
uwf,source_ip,within_family_source_ip,intervendb_observed_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_minimax_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_stability_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_shift_guard_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_pareto_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_openworld_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_coverage_openworld_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_coverage_lift_openworld_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,source_ip,within_family_source_ip,intervendb_adaptive_openworld_selector,0.9959942705930908,0.9959942705930908,0.0
uwf,random,all,intervendb_observed_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_minimax_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_stability_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_shift_guard_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_pareto_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_openworld_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_coverage_openworld_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_coverage_lift_openworld_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,random,all,intervendb_adaptive_openworld_selector,0.9954906847039279,0.9954906847039279,0.0
uwf,heldout_family,initial_access,intervendb_conformal_tail_guard,0.9946808510638299,0.9946808510638299,0.0
uwf,heldout_family,privilege_escalation,intervendb_observed_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_minimax_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_stability_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_shift_guard_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_pareto_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_openworld_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_coverage_openworld_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_coverage_lift_openworld_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_adaptive_openworld_selector,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_counterfactual_ensemble,0.9939024390243903,0.9939024390243903,0.0
uwf,heldout_family,privilege_escalation,intervendb_env_calibrated_ensemble,0.9939024390243903,0.9939024390243903,0.0
uwf,time,within_family_chronological,intervendb_conformal_tail_guard,0.9901440037771483,0.9901440037771483,0.0
uwf,heldout_family,credential_access,intervendb_gated_conformal_tail_guard,0.9808095613936182,0.9808095613936182,0.0
uwf,heldout_family,exfiltration,intervendb_conformal_tail_guard,0.9787234042553191,0.9787234042553191,0.0
uwf,heldout_family,initial_access,intervendb_gated_conformal_tail_guard,0.9664082687338501,0.9664082687338501,0.0
uwf,time,within_family_chronological,intervendb_gated_conformal_tail_guard,0.9662694986473264,0.9662694986473264,0.0
uwf,heldout_family,defense_evasion,intervendb_gated_conformal_tail_guard,0.965925925925926,0.965925925925926,0.0
uwf,heldout_family,exfiltration,intervendb_gated_conformal_tail_guard,0.9583333333333334,0.9583333333333334,0.0
uwf,heldout_family,exfiltration,intervendb_coverage_openworld_selector,0.9583333333333334,0.9583333333333334,0.0
uwf,heldout_family,initial_access,intervendb_observed_selector,0.8891089108910892,0.8891089108910892,0.0
uwf,heldout_family,reconnaissance,intervendb_observed_selector,0.4025260845689181,0.4025260845689181,0.0
uwf,heldout_family,reconnaissance,intervendb_minimax_selector,0.4025260845689181,0.4025260845689181,0.0
uwf,heldout_family,reconnaissance,intervendb_stability_selector,0.4025260845689181,0.4025260845689181,0.0
uwf,heldout_family,reconnaissance,intervendb_shift_guard_selector,0.4025260845689181,0.4025260845689181,0.0
uwf,heldout_family,reconnaissance,intervendb_pareto_selector,0.4025260845689181,0.4025260845689181,0.0
uwf,heldout_family,reconnaissance,intervendb_openworld_selector,0.4025260845689181,0.4025260845689181,0.0


