dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
gotham,random,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod_env_sensitive,pyod_copod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.01, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",device_challenge,device_file,iotsim-city-power-1.csv,187654,0.844696202819763,0.8659752644080694,3389314,12000,3582968
gotham,time,all,lr_full,lr_full,sklearn_linear,full,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.4804,{},random,,,0,0.9999563581414569,0.9999563581414569,2687225,895742,3582967
gotham,time,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.4706,{},random,,,0,0.9716046747675094,0.9942730638752086,2687225,895742,3582967
gotham,time,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.0296, ""delayed_collector"": 0.01, ""high_background"": 0.07859999999999999, ""low_sampling"": 0.0982, ""observed"": 0.1766}",random,,,0,0.9000844623244727,0.9369952190940843,2687225,895742,3582967
gotham,time,all,rf_full,rf_full,sklearn_tree,full,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,single_validation_observed,0.745,{},random,,,0,0.9999993180964253,0.9999993180964253,2687225,895742,3582967
gotham,time,all,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,single_validation_minimax,0.5588,{},random,,,0,0.9999952266945064,0.999996863252484,2687225,895742,3582967
gotham,time,all,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.4412, ""delayed_collector"": 0.5686, ""high_background"": 0.402, ""low_sampling"": 0.451, ""observed"": 0.451}",random,,,0,0.9995699289512501,0.9997895040629305,2687225,895742,3582967
gotham,time,all,xgb_full,xgb_full,xgboost,full,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,xgb_full__val_observed_f1,xgb_full,xgboost,full,val_observed_f1,single_validation_observed,0.9802,{},random,,,0,0.9999993180964253,0.9999993180964253,2687225,895742,3582967
gotham,time,all,xgb_full__val_robust_minimax,xgb_full,xgboost,full,val_robust_minimax,single_validation_minimax,0.8136,{},random,,,0,0.9999965904867762,0.999996863250438,2687225,895742,3582967
gotham,time,all,xgb_full__oracle_env_upper_bound,xgb_full,xgboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.108, ""delayed_collector"": 0.794, ""high_background"": 0.9606, ""low_sampling"": 0.99, ""observed"": 0.99}",random,,,0,0.9154079477960368,0.9215809198969479,2687225,895742,3582967
gotham,time,all,lgbm_full,lgbm_full,lightgbm,full,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,lgbm_full__val_observed_f1,lgbm_full,lightgbm,full,val_observed_f1,single_validation_observed,0.019799999999999998,{},random,,,0,0.9999993180973552,0.9999993180973552,2687225,895742,3582967
