dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,environment_id,train_rows,test_rows,train_positive_rate,test_positive_rate,fit_seconds,eval_seconds,semantic_preservation_score,accuracy,precision,recall,f1,auc,alert_budget_inflation,causal_fragility_score,environment_leakage_score,score_environment_leakage_score
gotham,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,observed,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.007122155278921127,1.0,0.9997263243336542,0.999668947322113,0.9999968340223556,0.99983286379032,0.999959471359526,1.0003279952839597,0.26898984928973196,0.06216955027716345,0.29048424577021037
gotham,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.0069783031940460205,1.0,0.9991411352667897,0.9989550507357025,0.9999968340223556,0.9994756709086589,0.9999599732483934,1.001042873036065,0.26898984928973196,0.06216955027716345,0.29048424577021037
gotham,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,congested_link,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.00842370092868805,1.0,0.9997273609839055,0.9996702128804341,0.9999968340223556,0.9998334967766116,0.9999594291145294,1.0003267288929019,0.26898984928973196,0.06216955027716345,0.29048424577021037
gotham,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,high_background,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.004147730767726898,1.0,0.9997071463040049,0.9997220822433978,0.9999202173633611,0.9998211399872424,0.9999552940528376,1.0001981902005395,0.26898984928973196,0.06216955027716345,0.29048424577021037
gotham,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,delayed_collector,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.003956235945224762,1.0,0.8488377336544876,0.8476711402618708,0.9939536158947274,0.9150026813402038,0.7973402508983009,1.1725698430498244,0.26898984928973196,0.06216955027716345,0.29048424577021037
gotham,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,observed,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.007203254848718643,1.0,0.9998838951718533,0.9998676783888419,0.9999905020670669,0.999929086456273,0.999959471359526,1.0001228399326028,0.26898984928973196,0.06184415587703012,0.29048424577021037
gotham,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.007636424154043198,1.0,0.9998994449256229,0.9999005958550371,0.9999765717654314,0.9999385823670609,0.9999599732483934,1.0000759834634656,0.26898984928973196,0.06184415587703012,0.29048424577021037
gotham,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,congested_link,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.00711466372013092,1.0,0.9998838951718533,0.999866412491635,0.9999917684581245,0.9999290865460716,0.9999594291145294,1.0001253727147181,0.26898984928973196,0.06184415587703012,0.29048424577021037
gotham,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,high_background,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.007995638996362686,1.0,0.9997071463040049,0.9997220822433978,0.9999202173633611,0.9998211399872424,0.9999552940528376,1.0001981902005395,0.26898984928973196,0.06184415587703012,0.29048424577021037
gotham,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,delayed_collector,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.007477615028619766,1.0,0.853133612295916,0.848195242949408,0.9994630501915099,0.9176369979483954,0.7973402508983009,1.1783407871000342,0.26898984928973196,0.06184415587703012,0.29048424577021037
gotham,random,all,rf_full,rf_full,sklearn_tree,full,native_default,observed,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.0006468929350376129,1.0,0.9999948167487435,0.9999936680848046,1.0,0.9999968340323789,1.0,1.0000063319552888,0.7616574839432031,0.005490013554719373,0.6662465524250804
gotham,random,all,rf_full,rf_full,sklearn_tree,full,native_default,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.000385187566280365,1.0,0.9999927434482409,0.9999911353411786,1.0,0.9999955676509437,0.9999999256248532,1.0000088647374044,0.7616574839432031,0.005490013554719373,0.6662465524250804
gotham,random,all,rf_full,rf_full,sklearn_tree,full,native_default,congested_link,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.0004416517913341522,1.0,0.999984968571356,0.999991768442488,0.999989868871538,0.9999908186561108,0.999999639724408,0.9999981004134134,0.7616574839432031,0.005490013554719373,0.6662465524250804
gotham,random,all,rf_full,rf_full,sklearn_tree,full,native_default,high_background,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.00041381269693374634,1.0,0.9832974911508943,0.9999903044217654,0.9796054052103127,0.9896928980024232,0.9999964646576941,0.979614903143246,0.7616574839432031,0.005490013554719373,0.6662465524250804
gotham,random,all,rf_full,rf_full,sklearn_tree,full,native_default,delayed_collector,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.00041512399911880493,1.0,0.9999942984236178,0.9999930348976953,1.0,0.9999965174367195,0.9999996996192776,1.0000069651508177,0.7616574839432031,0.005490013554719373,0.6662465524250804
gotham,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,observed,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.004194196313619614,1.0,0.9999989633497487,0.999998733610546,1.0,0.999999366804872,1.0,1.0000012663910578,0.7616574839432031,0.0437940707314841,0.6662465524250804
gotham,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.004417691379785538,1.0,0.999897889950246,0.9999981001836489,0.9998771600673974,0.9999376264686671,0.9999999256248532,0.9998790596539839,0.7616574839432031,0.0437940707314841,0.6662465524250804
gotham,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,congested_link,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.004304781556129456,1.0,0.9826843125272444,0.9999987062452131,0.9788481033577726,0.9893103723018746,0.999999639724408,0.9788493697488303,0.7616574839432031,0.0437940707314841,0.6662465524250804
gotham,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,high_background,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.0042503587901592255,1.0,0.859687833509823,0.9999984716397472,0.8285933371367278,0.9062624767000602,0.9999964646576941,0.8285946035277856,0.7616574839432031,0.0437940707314841,0.6662465524250804
gotham,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,delayed_collector,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.003987394273281097,1.0,0.9840350678047013,0.9999993542104189,0.9804975777105043,0.9901524498342756,0.9999996996192776,0.9804982109060332,0.7616574839432031,0.0437940707314841,0.6662465524250804
gotham,random,all,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,observed,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.004626687616109848,1.0,0.9999917067979895,0.9999898689741766,1.0,0.9999949344614287,1.0,1.0000101311284622,0.7616574839432031,8.306146862927574e-08,0.6662465524250804
gotham,random,all,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,991.4836960919201,0.00418839231133461,1.0,0.9999880785221099,0.9999854367149281,1.0,0.9999927183044414,0.9999999256248532,1.0000145634971642,0.7616574839432031,8.306146862927574e-08,0.6662465524250804
