dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
gotham,time,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.8388793217086576,0.8292516234682586,0.009627698240398996
gotham,time,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.8388793217086576,0.8292516234682586,0.009627698240398996
gotham,time,all,lgbm_full__val_observed_f1,lightgbm,full,0.9045533042170831,0.8959634333181307,0.008589870898952467
gotham,random,all,cat_full__val_robust_minimax,catboost,full,0.9993153515024618,0.9914734695948566,0.007841881907605153
gotham,device,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.7672700364298725,0.7627610217654632,0.004509014664409228
gotham,device,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.7672700364298725,0.7627610217654632,0.004509014664409228
gotham,device,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.7672700364298725,0.7627610217654632,0.004509014664409228
gotham,time,all,iforest_env_sensitive,sklearn_anomaly,env_sensitive,0.9002446571038345,0.8969230870386925,0.003321570065141999
gotham,random,all,cat_full__oracle_env_upper_bound,catboost,full,0.9999791049709275,0.9980915728941402,0.0018875320767872683
gotham,device,all,xgb_full__oracle_env_upper_bound,xgboost,full,0.9999201845033407,0.9986010411594571,0.0013191433438836109
gotham,time,all,rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9999009147813304,0.9995699289512501,0.00033098583008028815
gotham,device,all,rf_full__oracle_env_upper_bound,sklearn_tree,full,1.0,0.9999114215997593,8.857840024067976e-05
gotham,time,all,rf_full,sklearn_tree,full,0.9629114804645987,0.962846679193799,6.480127079977471e-05
gotham,random,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod,env_sensitive,0.8787662164816759,0.8787306107918426,3.5605689833295706e-05
gotham,time,all,xgb_full__val_robust_minimax,xgboost,full,0.9154050295075145,0.9153936218309124,1.140767660201547e-05
gotham,random,all,rf_full__oracle_env_upper_bound,sklearn_tree,full,1.0,0.9999949344614287,5.065538571269457e-06
gotham,time,all,xgb_full,xgboost,full,0.9153933565394907,0.9153901730544237,3.183485067004277e-06
gotham,random,all,rf_full__val_robust_minimax,sklearn_tree,full,0.9999949344614287,0.9999927183044414,2.2161569873668796e-06
gotham,time,all,xgb_full__oracle_env_upper_bound,xgboost,full,0.915408213095916,0.9154079477960368,2.6529987917633946e-07
gotham,random,all,pyod_copod_env_sensitive,pyod_copod,env_sensitive,0.4683050666586787,0.4683050666586787,0.0
gotham,time,all,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.25206725902411786,0.25206725902411786,0.0
