detector,environment_id,accuracy_full,precision_full,recall_full,f1_full,avg_score_full,n_full,accuracy_witness,precision_witness,recall_witness,f1_witness,avg_score_witness,n_witness,abs_f1_error,abs_accuracy_error
protocol_core_rf,high_background,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,low_sampling,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,observed,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0,0.0035855145213338213,0.00498132004981322
rf_env_sensitive,congested_link,0.8906600249066002,0.9519415609381008,0.8874551971326164,0.9185679836764978,0.6130493867602804,4015.0,0.9006226650062267,0.9606936416184971,0.8935483870967742,0.9259052924791087,0.6890963044410232,4015.0,0.0073373088026108535,0.00996264009962644
rf_env_sensitive,delayed_collector,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6952725597756919,4015.0,1.0,1.0,1.0,1.0,0.8346894215641849,4015.0,0.0010741138560687036,0.001494396014943944
rf_env_sensitive,high_background,0.8283935242839352,0.8965647414118535,0.8512544802867383,0.8733223018937305,0.6528326834860831,4015.0,0.8296388542963885,0.9025229357798165,0.8462365591397849,0.8734739178690344,0.7177773438198073,4015.0,0.00015161597530388704,0.001245330012453305
rf_env_sensitive,low_sampling,0.7173100871731009,0.7827126750939528,0.821146953405018,0.8014693020815112,0.6476436071328441,4015.0,0.7222914072229141,0.7888927216281476,0.8197132616487455,0.8040077342239409,0.6074074356412951,4015.0,0.0025384321424296585,0.00498132004981322
rf_env_sensitive,observed,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6947681027488566,4015.0,1.0,1.0,1.0,1.0,0.8346427841978961,4015.0,0.0010741138560687036,0.001494396014943944
rf_full,congested_link,0.9930261519302616,0.9949820788530466,0.9949820788530466,0.9949820788530466,0.6475856462870303,4015.0,1.0,1.0,1.0,1.0,0.7607018504295344,4015.0,0.00501792114695343,0.006973848069738442
rf_full,delayed_collector,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6943875241262576,4015.0,1.0,1.0,1.0,1.0,0.8341026175744115,4015.0,0.0010741138560687036,0.001494396014943944
rf_full,high_background,0.9788293897882939,0.9863358504135203,0.9831541218637992,0.9847424160832885,0.6583408652623702,4015.0,0.9763387297633873,0.9817661780479084,0.9842293906810036,0.982996241274387,0.7591271270437888,4015.0,0.0017461748089014906,0.00249066002490661
rf_full,low_sampling,0.972851805728518,0.9981419546636938,0.9627240143369176,0.9801131180441526,0.5727486488892796,4015.0,0.9780821917808219,1.0,0.9684587813620071,0.9839766933721777,0.6384706464634521,4015.0,0.0038635753280251706,0.005230386052303859
rf_full,observed,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6944348416952298,4015.0,1.0,1.0,1.0,1.0,0.8342341152044856,4015.0,0.0010741138560687036,0.001494396014943944


