dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
uwf,time,within_family_chronological,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.157,{},attack_family_challenge,attack_family,Initial Access,365,0.9972677595628415,0.9972677595628415,61587,730,62317
uwf,time,within_family_chronological,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.07859999999999999,{},attack_family_challenge,attack_family,Initial Access,365,0.6407407407407407,0.8907790966725135,61587,730,62317
uwf,time,within_family_chronological,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.549, ""delayed_collector"": 0.3432, ""high_background"": 0.5882, ""low_sampling"": 0.108, ""observed"": 0.304}",attack_family_challenge,attack_family,Initial Access,365,0.7083684896832093,0.9385027499616487,61587,730,62317
uwf,time,within_family_chronological,rf_full,rf_full,sklearn_tree,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,single_validation_observed,0.07859999999999999,{},attack_family_challenge,attack_family,Initial Access,365,0.9972677595628415,0.9972677595628415,61587,730,62317
uwf,time,within_family_chronological,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,single_validation_minimax,0.5,{},attack_family_challenge,attack_family,Initial Access,365,0.9851551956815114,0.9926443679559969,61587,730,62317
uwf,time,within_family_chronological,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.6176, ""delayed_collector"": 0.2844, ""high_background"": 0.7646, ""low_sampling"": 0.4412, ""observed"": 0.843}",attack_family_challenge,attack_family,Initial Access,365,0.9868614012510101,0.9950621238672557,61587,730,62317
uwf,time,within_family_chronological,gb_full,gb_full,sklearn_boosting,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,single_validation_observed,0.9508,{},attack_family_challenge,attack_family,Initial Access,365,0.9986320109439124,0.9986320109439124,61587,730,62317
uwf,time,within_family_chronological,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,single_validation_minimax,0.402,{},attack_family_challenge,attack_family,Initial Access,365,0.9958960328317373,0.9969934142166206,61587,730,62317
uwf,time,within_family_chronological,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.9116, ""delayed_collector"": 0.4608, ""high_background"": 0.9312, ""low_sampling"": 0.4412, ""observed"": 0.4608}",attack_family_challenge,attack_family,Initial Access,365,0.9983937176512583,0.9986491688185222,61587,730,62317
