dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,environment_id,train_rows,test_rows,train_positive_rate,test_positive_rate,fit_seconds,eval_seconds,semantic_preservation_score,accuracy,precision,recall,f1,auc,alert_budget_inflation,causal_fragility_score,environment_leakage_score,score_environment_leakage_score
uwf,heldout_family,defense_evasion,rf_full,rf_full,sklearn_tree,full,native_default,congested_link,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00023321062326431274,1.0,0.9938650306748467,0.9969135802469136,0.99079754601227,0.9938461538461538,0.9998776769919832,0.9938650306748467,0.6572584600809642,0.06059210661868152,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full,rf_full,sklearn_tree,full,native_default,high_background,95219,652,0.5003098121173295,0.5,35.18697724863887,0.0002326183021068573,1.0,0.9785276073619632,0.9670658682634731,0.99079754601227,0.9787878787878788,0.9945613308743272,1.0245398773006136,0.6572584600809642,0.06059210661868152,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full,rf_full,sklearn_tree,full,native_default,delayed_collector,95219,652,0.5003098121173295,0.5,35.18697724863887,0.05247614532709122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.06059210661868152,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,observed,95219,652,0.5003098121173295,0.5,35.18697724863887,0.000263802707195282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.11853394990423323,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,low_sampling,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00015778467059135437,1.0,0.6380368098159509,1.0,0.27607361963190186,0.4326923076923077,1.0,0.27607361963190186,0.6572584600809642,0.11853394990423323,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,congested_link,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00014735758304595947,1.0,0.9555214723926381,1.0,0.911042944785276,0.9534510433386838,0.9998776769919832,0.911042944785276,0.6572584600809642,0.11853394990423323,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,high_background,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00015348196029663086,1.0,0.9156441717791411,0.9688581314878892,0.8588957055214724,0.9105691056910569,0.9945613308743272,0.8865030674846626,0.6572584600809642,0.11853394990423323,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,delayed_collector,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00014687702059745789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.11853394990423323,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,observed,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00015568360686302185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.127967425869065,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,low_sampling,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00014679506421089172,1.0,0.598159509202454,1.0,0.19631901840490798,0.3282051282051282,1.0,0.19631901840490798,0.6572584600809642,0.127967425869065,0.6252153105201355
