dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,time,within_family_chronological,cat_full__val_robust_minimax,catboost,full,0.9988694513864096,0.9922540208136235,0.0066154305727861296
uwf,random,all,xgb_full,xgboost,full,0.9989586742435512,0.9923433943299731,0.0066152799135781315
uwf,time,within_family_chronological,lgbm_full__val_robust_minimax,lightgbm,full,0.9835652556027538,0.9772383280940738,0.006326927508679914
uwf,time,within_family_chronological,gb_full__val_robust_minimax,sklearn_boosting,full,0.9835652556027538,0.9772899318697956,0.006275323732958138
uwf,heldout_family,initial_access,xgb_full__val_observed_f1,xgboost,full,1.0,0.9937998228520815,0.00620017714791854
uwf,heldout_family,initial_access,xgb_full__val_robust_minimax,xgboost,full,1.0,0.9937998228520815,0.00620017714791854
uwf,heldout_family,initial_access,cat_full__val_robust_minimax,catboost,full,1.0,0.9937998228520815,0.00620017714791854
uwf,heldout_family,privilege_escalation,xgb_full,xgboost,full,0.998468606431853,0.9923896499238964,0.006078956507956534
uwf,random,all,xgb_full__val_robust_minimax,xgboost,full,0.9989586742435512,0.9932830300340287,0.00567564420952249
uwf,heldout_family,initial_access,lgbm_full__oracle_env_upper_bound,lightgbm,full,1.0,0.9946808510638298,0.005319148936170248
uwf,source_ip,within_family_source_ip,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.5900222277105458,0.5851589674742174,0.004863260236328437
uwf,heldout_family,defense_evasion,lgbm_full__oracle_env_upper_bound,lightgbm,full,1.0,0.9954198473282443,0.004580152671755711
uwf,heldout_family,initial_access,xgb_full,xgboost,full,1.0,0.9955634427684117,0.004436557231588312
uwf,heldout_family,initial_access,lr_full__val_robust_minimax,sklearn_linear,full,0.7235494880546075,0.7191780821917808,0.004371405862826694
uwf,heldout_family,credential_access,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9996092672611934,0.9956726806484111,0.003936586612782289
uwf,heldout_family,exfiltration,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.9583333333333334,0.9545454545454546,0.0037878787878787845
uwf,heldout_family,initial_access,cat_full,catboost,full,1.0,0.9964476021314387,0.003552397868561319
uwf,time,within_family_chronological,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9988694513864096,0.9954020942718994,0.0034673571145101834
uwf,heldout_family,credential_access,cat_full,catboost,full,0.9994944388270981,0.9962321197475864,0.0032623190795116885
uwf,heldout_family,credential_access,gb_full__val_robust_minimax,sklearn_boosting,full,0.9994255118689248,0.9962043460810733,0.0032211657878514766
uwf,source_ip,within_family_source_ip,lgbm_full__val_robust_minimax,lightgbm,full,0.9767696091828368,0.9737097859403424,0.0030598232424944305
uwf,heldout_family,defense_evasion,xgb_full,xgboost,full,1.0,0.9969418960244648,0.003058103975535187
uwf,heldout_family,privilege_escalation,gb_full,sklearn_boosting,full,0.998468606431853,0.9954198473282443,0.003048759103608689
uwf,source_ip,within_family_source_ip,lgbm_full,lightgbm,full,0.9780170702659786,0.9751181886041304,0.0028988816618482627
uwf,heldout_family,credential_access,gb_full,sklearn_boosting,full,0.9994369951627543,0.996649685621185,0.0027873095415692495
uwf,heldout_family,privilege_escalation,iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.6700924974306269,0.6673490276356192,0.0027434697950077247
uwf,random,all,gb_full,sklearn_boosting,full,0.9985723633335316,0.9958439707890518,0.002728392544479763
uwf,random,all,cat_full,catboost,full,0.9989289539450197,0.9963178524765411,0.0026111014684785383
uwf,source_ip,within_family_source_ip,xgb_full,xgboost,full,0.9766968100963928,0.9744547355841051,0.0022420745122876395
uwf,time,within_family_chronological,cat_full__val_observed_f1,catboost,full,0.9988694513864096,0.9967014353213872,0.002168016065022371
uwf,heldout_family,credential_access,gb_full__oracle_env_upper_bound,sklearn_boosting,full,0.9994485040672825,0.997336211449698,0.002112292617584499
uwf,source_ip,within_family_source_ip,xgb_full__val_robust_minimax,xgboost,full,0.9762898896510588,0.9744547355841051,0.0018351540669536703
uwf,source_ip,within_family_source_ip,cat_full__oracle_env_upper_bound,catboost,full,0.9985429820301117,0.9969894143925415,0.0015535676375701968
uwf,random,all,gb_full__val_robust_minimax,sklearn_boosting,full,0.9984531175630652,0.9969005185670858,0.0015525989959793707
uwf,heldout_family,privilege_escalation,cat_full,catboost,full,0.998468606431853,0.9969325153374233,0.001536091094429648
uwf,heldout_family,defense_evasion,cat_full,catboost,full,1.0,0.998468606431853,0.0015313935681470214
uwf,heldout_family,persistence,gb_full,sklearn_boosting,full,1.0,0.998468606431853,0.0015313935681470214
