dataset,split,fold,method,environment_id,fit_seconds,selected_candidate,common_threshold,anomaly_threshold,primary_gate,coverage_rate,coverage_floor,coverage_gap,gated_coverage_rate,coverage_lift,coverage_lift_floor,coverage_recovery_floor,causal_fragility_score,environment_leakage_score,score_environment_leakage_score,accuracy,precision,recall,f1,auc,alert_budget_inflation
gotham,random,all,intervendb_conformal_tail_guard,delayed_collector,2549.2193158119917,protocol_core_rf+conformal_iforest_env_sensitive,0.2942,0.995,,,,,,,,,0.36411631806358546,0.0009798601015910127,0.18947740507386082,0.9937246377036953,0.9923940801512136,0.9999981004134134,0.9961815798047298,0.9671754146747766,1.0076622990949737
gotham,random,all,intervendb_gated_conformal_tail_guard,observed,2549.2193158119917,protocol_core_rf+gated_conformal_iforest_env_sensitive,0.2942,0.5,0.001,,,,,,,,0.36411631806358546,0.03648794501373962,0.18947740507386082,0.9091858097093699,0.9001383871625958,1.0,0.947445084256982,0.9909033839126906,1.110940289028431
gotham,random,all,intervendb_gated_conformal_tail_guard,low_sampling,2549.2193158119917,protocol_core_rf+gated_conformal_iforest_env_sensitive,0.2942,0.5,0.001,,,,,,,,0.36411631806358546,0.03648794501373962,0.18947740507386082,0.818586206020761,0.818586206020761,1.0,0.900244600240211,0.9943317130526113,1.221618435107906
gotham,random,all,intervendb_gated_conformal_tail_guard,congested_link,2549.2193158119917,protocol_core_rf+gated_conformal_iforest_env_sensitive,0.2942,0.5,0.001,,,,,,,,0.36411631806358546,0.03648794501373962,0.18947740507386082,0.9022770541095149,0.8933515553275292,1.0,0.9436721382395242,0.9904423080302671,1.119380152232869
gotham,random,all,intervendb_gated_conformal_tail_guard,high_background,2549.2193158119917,protocol_core_rf+gated_conformal_iforest_env_sensitive,0.2942,0.5,0.001,,,,,,,,0.36411631806358546,0.03648794501373962,0.18947740507386082,0.920718543755193,0.9117002877186177,1.0,0.9538109018193656,0.9908883008062299,1.096851688510857
gotham,random,all,intervendb_gated_conformal_tail_guard,delayed_collector,2549.2193158119917,protocol_core_rf+gated_conformal_iforest_env_sensitive,0.2942,0.5,0.001,,,,,,,,0.36411631806358546,0.03648794501373962,0.18947740507386082,0.818586206020761,0.818586206020761,1.0,0.900244600240211,0.9671754146747766,1.221618435107906
gotham,random,all,intervendb_openworld_selector,observed,2549.2193158119917,openworld:protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_openworld_selector,low_sampling,2549.2193158119917,openworld:protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_openworld_selector,congested_link,2549.2193158119917,openworld:protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_openworld_selector,high_background,2549.2193158119917,openworld:protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360809,1.0000234282345686
gotham,random,all,intervendb_openworld_selector,delayed_collector,2549.2193158119917,openworld:protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_coverage_openworld_selector,observed,2549.2193158119917,coverage:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_coverage_openworld_selector,low_sampling,2549.2193158119917,coverage:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_coverage_openworld_selector,congested_link,2549.2193158119917,coverage:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_coverage_openworld_selector,high_background,2549.2193158119917,coverage:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360809,1.0000234282345686
gotham,random,all,intervendb_coverage_openworld_selector,delayed_collector,2549.2193158119917,coverage:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_coverage_lift_openworld_selector,observed,2549.2193158119917,coverage_lift:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,0.0,0.909400396311391,0.09079501226098075,0.03,0.6610083204762085,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_coverage_lift_openworld_selector,low_sampling,2549.2193158119917,coverage_lift:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,0.0,0.909400396311391,0.09079501226098075,0.03,0.6610083204762085,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_coverage_lift_openworld_selector,congested_link,2549.2193158119917,coverage_lift:protocol_core_rf,0.2942,,,0.8186053840504103,0.6957982320802195,0.0,0.909400396311391,0.09079501226098075,0.03,0.6610083204762085,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
