detector,detector_family,feature_profile,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max,policy,base_detector
lgbm_full__val_robust_minimax,lightgbm,full,0.8999615138500701,0.8167731217887111,0.0831883920613589,0.7157894736842105,val_robust_minimax,lgbm_full
lr_full__oracle_env_upper_bound,sklearn_linear,full,0.9534221682680196,0.8032041587227395,0.1502180095452802,0.2920110886374488,oracle_env_upper_bound,lr_full
lgbm_full__val_observed_f1,lightgbm,full,0.8982866245301071,0.7939422372921757,0.1043443872379315,0.6847545219638242,val_observed_f1,lgbm_full
pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.8755524407591443,0.7742782449557064,0.1012741958034379,0.1921485411140583,oracle_env_upper_bound,pyod_copod_env_sensitive
rf_full__val_robust_minimax,sklearn_tree,full,0.9122812799497148,0.7615580810848657,0.1507231988648491,0.6717948717948719,val_robust_minimax,rf_full
pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod,env_sensitive,0.8620973280406004,0.7391083718195908,0.1229889562210095,0.1950906067085682,oracle_env_upper_bound,pyod_ecod_env_sensitive
rf_full,sklearn_tree,full,0.9084165078262176,0.7353290903098092,0.1730874175164087,0.6717948717948719,native_default,rf_full
lr_full,sklearn_linear,full,0.9000481126295835,0.7166166905691104,0.1834314220604731,0.5329839031877865,native_default,lr_full
lr_full__val_observed_f1,sklearn_linear,full,0.8709924163433593,0.6926727427272839,0.1783196736160754,0.2914614594659221,val_observed_f1,lr_full
iforest_env_sensitive,sklearn_anomaly,env_sensitive,0.8592426577370615,0.6629973516522989,0.1962453060847626,0.2824561403508772,native_default,iforest_env_sensitive
rf_full__val_observed_f1,sklearn_tree,full,0.95145983127571,0.6489541462697795,0.3025056850059304,0.5673076923076923,val_observed_f1,rf_full
lr_full__val_robust_minimax,sklearn_linear,full,0.7878047745812227,0.6479393141975265,0.1398654603836962,0.2917946505204519,val_robust_minimax,lr_full
iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.645386719459327,0.5845637427629347,0.0608229766963924,0.1126660696864892,val_robust_minimax,iforest_env_sensitive
iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.7428478342718644,0.5546436078099576,0.1882042264619068,0.5857761286332716,val_observed_f1,iforest_env_sensitive
pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.6932470665503633,0.5506649233275784,0.1425821432227848,0.3403508771929824,val_observed_f1,pyod_ecod_env_sensitive
pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.5895070352504534,0.5466148165411175,0.0428922187093359,0.1274218181548961,val_robust_minimax,pyod_copod_env_sensitive
pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.6574169951271834,0.5453802174505842,0.1120367776765992,0.3089115126929199,val_robust_minimax,pyod_ecod_env_sensitive
pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.693703244777506,0.5012491233684119,0.192454121409094,0.5158749328377705,val_observed_f1,pyod_copod_env_sensitive
pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.5155639850885856,0.4652517555061232,0.0503122295824623,0.4054487179487179,native_default,pyod_ecod_env_sensitive
pyod_copod_env_sensitive,pyod_copod,env_sensitive,0.554609541964386,0.4343522732562547,0.1202572687081312,0.4388028895768834,native_default,pyod_copod_env_sensitive
